DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"210901","CENTER ISD",2300,321,751,40,14,32.7,1.7,718,624,31.2,88.6,2307
"210902","JOAQUIN ISD",717,190,48,62,26.5,6.7,8.6,268,217,37.4,99.1,720
"210903","SHELBYVILLE ISD",890,119,54,53,13.4,6.1,6,221,199,24.8,82.6,891
"210904","TENAHA ISD",413,65,107,11,15.7,25.9,2.7,169,144,40.9,97.3,414
"210905","TIMPSON ISD",755,125,53,25,16.6,7,3.3,275,196,36.4,87.5,756
"210906","EXCELSIOR ISD",86,19,6,0,22.1,7,0,5,0,5.8,0,86
"211901","TEXHOMA ISD",102,17,40,1,16.7,39.2,1,0,0,0,0,102
"211902","STRATFORD ISD",524,77,152,27,14.7,29,5.2,146,146,27.9,91.3,527
"212801","CUMBERLAND ACADEMY",2047,276,131,0,13.5,6.4,0,542,440,26.5,87.5,2047
"212804","UT TYLER UNIVERSITY ACADEMY",1175,178,40,123,15.1,3.4,10.5,232,229,19.7,94.6,1175
"212901","ARP ISD",1005,168,39,69,16.7,3.9,6.9,382,276,38,89.6,1008
"212902","BULLARD ISD",2917,417,86,243,14.3,2.9,8.3,1197,798,41,87.8,2921
"212903","LINDALE ISD",4589,943,186,310,20.5,4.1,6.8,1478,1220,32.2,91.2,4606
"212904","TROUP ISD",1063,169,45,72,15.9,4.2,6.8,254,250,23.9,80.4,1063
"212905","TYLER ISD",18643,2526,4600,1660,13.5,24.7,8.9,5623,4392,30.2,80.8,18708
"212906","WHITEHOUSE ISD",4663,832,250,541,17.8,5.4,11.6,1294,1291,27.8,92,4676
"212909","CHAPEL HILL ISD",3071,558,889,222,18.2,28.9,7.2,1297,903,42.2,91.2,3072
"212910","WINONA ISD",1166,248,220,45,21.3,18.9,3.9,268,263,23,82.4,1166
"213801","BRAZOS RIVER CHARTER SCHOOL",61,5,2,0,8.2,3.3,0,35,35,57.4,57.4,61
"213901","GLEN ROSE ISD",2107,283,186,131,13.4,8.8,6.2,833,551,39.5,85.7,2119
"214901","RIO GRANDE CITY GRULLA ISD",9293,1146,7597,1486,12.3,81.7,16,2631,2292,28.3,81.5,9316
"214902","SAN ISIDRO ISD",153,23,37,0,15,24.2,0,61,61,39.9,98.4,153
"214903","ROMA ISD",6008,726,5313,611,12.1,88.4,10.2,1509,1506,25.1,86.2,6019
"215901","BRECKENRIDGE ISD",1367,224,84,84,16.4,6.1,6.1,434,338,31.7,89.2,1374
"216901","STERLING CITY ISD",355,81,46,10,22.8,13,2.8,133,116,37.5,90.6,355
"217901","ASPERMONT ISD",181,30,7,11,16.6,3.9,6.1,57,55,31.5,93.2,181
"218901","SONORA ISD",641,109,126,22,17,19.7,3.4,262,172,40.9,91,643
"219901","HAPPY ISD",253,37,12,12,14.6,4.7,4.7,117,79,46.2,97.5,253
"219903","TULIA ISD",801,151,74,47,18.9,9.2,5.9,235,235,29.3,88,801
"219905","KRESS ISD",262,46,21,8,17.6,8,3.1,89,89,34,98.9,262
"220801","TREETOPS SCHOOL INTERNATIONAL",343,42,3,0,12.2,0.9,0,19,19,5.5,29.7,343
"220802","ARLINGTON CLASSICS ACADEMY",1506,128,150,0,8.5,10,0,62,0,4.1,0,1506
"220809","FORT WORTH ACADEMY OF FINE ARTS",670,46,19,666,6.9,2.8,99.4,278,119,41.5,47.4,670
"220810","WESTLAKE ACADEMY CHARTER SCHOOL",877,84,34,0,9.6,3.9,0,226,223,25.8,69.7,877
