DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"080901","MOUNT VERNON ISD",1558,238,219,673,109,443,15.3,43.2,14.1,7,91.7,1563
"081902","FAIRFIELD ISD",1657,200,125,520,67,427,12.1,31.4,7.5,4,82.1,1670
"081904","TEAGUE ISD",1250,197,143,411,85,325,15.8,32.9,11.4,6.8,74.9,1251
"081905","WORTHAM ISD",536,65,45,227,17,154,12.1,42.4,8.4,3.2,93.9,537
"081906","DEW ISD",181,18,7,5,0,0,9.9,2.8,3.9,0,0,181
"082902","DILLEY ISD",867,153,42,174,56,169,17.6,20.1,4.8,6.5,63.5,868
"082903","PEARSALL ISD",2015,299,125,562,49,468,14.8,27.9,6.2,2.4,79.1,2023
"083901","SEAGRAVES ISD",510,74,128,170,26,149,14.5,33.3,25.1,5.1,94.3,512
"083902","LOOP ISD",143,12,14,48,4,36,8.4,33.6,9.8,2.8,97.3,143
"083903","SEMINOLE ISD",2975,445,590,742,99,678,15,24.9,19.8,3.3,78.8,2986
"084802","ODYSSEY ACADEMY INC",1547,194,338,224,86,113,12.5,14.5,21.8,5.6,70.2,1547
"084804","AMBASSADORS PREPARATORY ACADEMY",162,7,0,0,2,0,4.3,0,0,1.2,0,162
"084901","DICKINSON ISD",12544,2061,2418,3263,916,2783,16.4,26,19.3,7.3,72.4,12592
"084902","GALVESTON ISD",6444,829,1761,1801,298,1577,12.9,27.9,27.3,4.6,77.8,6446
"084903","HIGH ISLAND ISD",159,21,0,59,9,43,13.2,37.1,0,5.7,64.2,159
"084906","TEXAS CITY ISD",7822,1624,1076,1799,472,1770,20.8,23,13.8,6,71.2,7874
"084908","HITCHCOCK ISD",1891,290,145,402,79,401,15.3,21.3,7.7,4.2,76.7,1899
"084909","SANTA FE ISD",4363,649,322,1704,163,1143,14.9,39.1,7.4,3.7,83.1,4397
"084910","CLEAR CREEK ISD",39960,6083,5920,12231,5530,8928,15.2,30.6,14.8,13.8,67.7,40132
"084911","FRIENDSWOOD ISD",6192,908,226,2009,558,1451,14.7,32.4,3.6,9,73.8,6210
"085902","POST ISD",705,111,69,235,9,207,15.7,33.3,9.8,1.3,83.8,705
"085903","SOUTHLAND ISD",127,20,0,28,6,26,15.7,22,0,4.7,96.3,127
"086024","DOSS CONSOLIDATED CSD",21,4,0,0,0,0,19,0,0,0,0,21
"086901","FREDERICKSBURG ISD",2993,526,646,1193,139,956,17.6,39.9,21.6,4.6,91.3,3005
"086902","HARPER ISD",610,87,24,249,49,157,14.3,40.8,3.9,8,85.3,612
"087901","GLASSCOCK COUNTY ISD",291,39,16,138,18,96,13.4,47.4,5.5,6.2,98,292
"088902","GOLIAD ISD",1273,218,20,369,83,344,17.1,29,1.6,6.5,80,1280
