DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'021902",733,26.3,2782,1219,7.6,16011,60,0.4,2204,11639,18.9,5046,31.5,2804,17.5,550,3.2,822,5.1,12375,77.3,7821,48.8,31,0.2,1283,8,9660,60.3,320,2,94,0.6,33,0.2,4730,29.5,8190,51.2,132,0.8,631,3.9,3636,22.7,10,0.1,11705,73.1,2541,15.9,10707,66.9,438,2.7,3006,18.8,5048,31.5,1283,8,2565,16
"'022004",4,23.5,17,2,1.6,122,0,0,13,105,12.4,59,48.4,1,0.8,0,0,4,3.3,95,77.9,62,50.8,0,0,10,8.2,94,77,0,0,18,14.8,1,0.8,59,48.4,60,49.2,0,0,0,0,27,22.1,0,0,79,64.8,17,13.9,122,100,2,1.6,24,19.7,59,48.4,10,8.2,17,13.9
"'022901",17,12.9,132,34,3.6,952,9,0.9,95,756,12.6,67,7,11,1.2,5,0.5,22,2.3,498,52.3,465,48.8,0,0,31,3.3,576,60.5,7,0.7,0,0,4,0.4,69,7.2,487,51.2,0,0,0,0,454,47.7,1,0.1,365,38.3,130,13.7,952,100,7,0.7,344,36.1,67,7,31,3.2,132,13.8
"'022902",0,0,3,2,3.4,59,0,0,7,53,13.2,0,0,2,3.4,1,1.6,1,1.7,36,61,26,44.1,0,0,5,8.5,38,64.4,0,0,0,0,0,0,0,0,33,55.9,0,0,0,0,23,39,0,0,13,22,4,6.8,59,100,0,0,19,32.2,0,0,5,8.5,4,6.8
"'022903",0,0,2,0,0,8,0,0,2,7,28.6,0,0,0,0,0,0,0,0,0,0,6,75,0,0,1,12.5,4,50,0,0,0,0,0,0,1,12.5,2,25,0,0,0,0,8,100,0,0,2,25,1,12.5,0,0,0,0,4,50,0,0,1,11.1,2,22.2
"'023902",1,6.3,16,17,8,213,1,0.5,3,178,1.7,12,5.6,0,0,1,0.5,15,7,105,49.3,107,50.2,4,1.9,19,8.9,85,39.9,0,0,0,0,1,0.5,12,5.6,106,49.8,0,0,0,0,108,50.7,0,0,63,29.6,22,10.3,213,100,3,1.4,123,57.7,12,5.6,19,8.9,22,10.3
"'024901",19,10.6,179,46,3.6,1284,3,0.2,114,863,13.2,24,1.9,2,0.2,84,5.8,50,3.9,1198,93.3,633,49.3,6,0.5,30,2.3,1248,97.2,30,2.3,0,0,1,0.1,30,2.3,651,50.7,13,1,0,0,86,6.7,0,0,889,69.2,191,14.9,1282,99.8,0,0,30,2.3,24,1.9,30,2.3,191,14.9
"'025901",18,19.8,91,86,10,858,5,0.6,108,664,16.3,14,1.6,17,2,3,0.3,84,9.8,568,66.2,402,46.9,10,1.2,37,4.3,224,26.1,2,0.2,0,0,1,0.1,15,1.7,456,53.1,0,0,48,5.6,290,33.8,0,0,370,43.1,93,10.8,611,71.2,20,2.3,591,68.9,14,1.6,37,4.3,97,11.3
"'025902",124,24.8,499,299,8.7,3439,15,0.4,861,2747,31.3,117,3.4,147,4.3,49,1.3,293,8.5,2323,67.5,1682,48.9,78,2.3,244,7.1,1521,44.2,31,0.9,0,0,9,0.3,118,3.4,1757,51.1,0,0,89,2.6,1116,32.5,0,0,1579,45.9,521,15.1,3439,100,165,4.8,1582,46,117,3.4,244,7.1,524,15.2
"'025904",16,50,32,10,7,142,0,0,36,137,26.3,4,2.8,0,0,0,0,5,3.5,89,62.7,64,45.1,5,3.5,10,7,49,34.5,2,1.4,0,0,0,0,4,2.8,78,54.9,0,0,4,2.8,53,37.3,0,0,67,47.2,19,13.4,142,100,0,0,93,65.5,4,2.8,10,7,19,13.4
"'025905",11,27.5,40,12,4.7,254,0,0,21,182,11.5,15,5.9,1,0.4,9,3.3,12,4.7,159,62.6,98,38.6,0,0,19,7.5,49,19.3,1,0.4,4,1.6,0,0,15,5.9,156,61.4,0,0,2,0.8,95,37.4,0,0,65,25.6,43,16.9,120,47.2,13,5.1,191,75.2,15,5.9,19,7.5,43,16.9
"'025906",6,24,25,25,11.1,226,0,0,30,204,14.7,2,0.9,1,0.4,0,0,31,13.7,139,61.5,102,45.1,1,0.4,19,8.4,27,11.9,0,0,0,0,1,0.4,2,0.9,124,54.9,0,0,2,0.9,87,38.5,2,0.9,59,26.1,30,13.3,226,100,10,4.4,185,81.9,2,0.9,19,8.4,31,13.7
